cluster,freq,impacto_medio,impacto_std
neg_brent,604,-3.586314638527744,1.685373415970527
neg_petr4,361,-3.7352221398242555,2.3641610597326244
neg_prio3,463,-3.3884252558201293,1.3322414391886246
posi_brent,690,3.202913769047728,1.2004841469974394
posi_petr4,514,3.2914868690423185,1.2897696690968903
posi_prio3,496,3.8497209869455196,2.5548369216846005
