Ativo,Modelo,Ano,Qtd_Observacoes,RMSE_Base,RMSE_Hibrido,MAE_Base,MAE_Hibrido,Pct_Dias_Hibrido_Melhor
PRIO3,LSTM,2020,3,0.5208595196856715,0.36444777653985494,0.5005216628248211,0.3555883050676319,0.6666666666666666
PRIO3,LSTM,2021,257,1.4417239119434353,0.7044506629671192,1.1675689114299246,0.5178292605132866,0.7898832684824902
PRIO3,LSTM,2022,259,1.4821811889623489,0.7798265750490798,1.1541385698325217,0.6239083727374646,0.7567567567567568
PRIO3,LSTM,2023,257,1.7529704269843303,0.9618663486800236,1.4046468265343919,0.7408506056111762,0.7509727626459144
PRIO3,LSTM,2024,259,1.4932423185351176,0.8353230597717224,1.1836058743633067,0.6506082834856043,0.7297297297297297
PRIO3,LSTM,2025,257,1.3882214589816264,0.7773868948882242,1.0891113602502516,0.6025267342382699,0.7315175097276264
PRIO3,LSTM,2026,59,2.321445654696615,1.3338167596396187,1.8370708057761922,1.0592615733588688,0.7288135593220338
PRIO3,TRANSFORMER,2020,3,0.9444478039874872,0.8822966309483361,0.8267041831318457,0.8185568351128545,0.3333333333333333
PRIO3,TRANSFORMER,2021,257,1.0599960993204762,0.8010810895936477,0.8153771862628116,0.6004524852114005,0.6614785992217899
PRIO3,TRANSFORMER,2022,259,1.249170664147783,0.8153422428396884,0.9284275960658492,0.6204309439890046,0.6563706563706564
PRIO3,TRANSFORMER,2023,257,1.5480806054620133,0.9127345409487743,1.1651013391054907,0.6580317752773116,0.7431906614785992
PRIO3,TRANSFORMER,2024,259,1.4881194044703525,0.7659539907402616,1.2574640340012475,0.6058053657963763,0.7799227799227799
PRIO3,TRANSFORMER,2025,257,1.439165334633031,0.703128313376625,1.1801398836898875,0.5307334001117753,0.7976653696498055
PRIO3,TRANSFORMER,2026,59,1.6913757013419586,1.482045590421821,1.3043397174480966,1.1777344363149864,0.559322033898305
