Ativo,Modelo,MAE_Base,MAE_Hibrido,Directional_Accuracy_Base,Directional_Accuracy_Hibrido,Pct_Dias_Hibrido_Melhor
EXXO34,AUTOENCODER,1.6220693476061132,0.8640494825244339,0.46444444444444444,0.5222222222222223,0.7527757216876387
EXXO34,LSTM,1.5666651361961657,0.8676978864660445,0.44666666666666666,0.5259259259259259,0.7313101406365655
EXXO34,TRANSFORMER,2.2074737055755618,0.9715452841681338,0.48518518518518516,0.5311111111111111,0.8075499629903775
PETR4,AUTOENCODER,0.7510430075141784,0.31196444817346813,0.49333333333333335,0.5562962962962963,0.8031088082901554
PETR4,LSTM,0.6809063602619928,0.3143267821604998,0.49777777777777776,0.5644444444444444,0.764618800888231
PETR4,TRANSFORMER,0.806651577430215,0.31527772132294296,0.48962962962962964,0.5555555555555556,0.8223538119911177
PRIO3,AUTOENCODER,1.2604096753117624,0.6490880400537801,0.4762962962962963,0.5666666666666667,0.7579570688378978
PRIO3,LSTM,1.2259997171111274,0.6454427150247026,0.4703703703703704,0.5666666666666667,0.7505551443375278
PRIO3,TRANSFORMER,1.0790977196107818,0.628694408036019,0.48814814814814816,0.5851851851851851,0.7194670614359734
