Ativo,Modelo,Event_Day,Qtd_Observacoes,MAE_Base,MAE_Hibrido,Pct_Dias_Hibrido_Melhor
EXXO34,AUTOENCODER,False,456,1.4357317865408254,0.7391296717619952,0.7390350877192983
EXXO34,AUTOENCODER,True,895,1.7170078144728969,0.9276957771698776,0.7597765363128491
EXXO34,LSTM,False,456,1.4020120451316587,0.7546696068463306,0.7280701754385965
EXXO34,LSTM,True,895,1.6505554261686959,0.9252854792108376,0.7329608938547486
EXXO34,TRANSFORMER,False,456,2.121326839348666,0.8072502991333317,0.8267543859649122
EXXO34,TRANSFORMER,True,895,2.2513652932844606,1.0552531201188264,0.7977653631284917
PETR4,AUTOENCODER,False,456,0.7058631850434378,0.2544141705432146,0.8179824561403509
PETR4,AUTOENCODER,True,895,0.7740620008623991,0.3412861538711168,0.7955307262569833
PETR4,LSTM,False,456,0.6213726474287155,0.26328508124145866,0.7653508771929824
PETR4,LSTM,True,895,0.7112386206552603,0.3403323862041678,0.7642458100558659
PETR4,TRANSFORMER,False,456,0.7278352747990878,0.2399224759185389,0.8157894736842105
PETR4,TRANSFORMER,True,895,0.8468082634635045,0.35367100836697457,0.8256983240223463
PRIO3,AUTOENCODER,False,456,1.1319913712163279,0.5487164218228254,0.7609649122807017
PRIO3,AUTOENCODER,True,895,1.3258384425380396,0.700227099174803,0.7564245810055866
PRIO3,LSTM,False,456,1.0969982547620278,0.5475796223131809,0.75
PRIO3,LSTM,True,895,1.2917256018387138,0.6953036874006288,0.7508379888268156
PRIO3,TRANSFORMER,False,456,0.9808465366608086,0.4899459335622053,0.7587719298245614
PRIO3,TRANSFORMER,True,895,1.129156422879148,0.699386368214856,0.6994413407821229
