cluster,num_frases,impacto_medio
neg_brent,604,-3.586314638527744
neg_petr4,361,-3.7352221398242564
neg_prio3,463,-3.3884252558201293
posi_brent,690,3.2029137690477283
posi_petr4,514,3.2914868690423185
posi_prio3,496,3.8497209869455196
