Ativo,Modelo,Qtd_Dias_Piora,Deterioracao_Media,Deterioracao_Max
EXXO34,AUTOENCODER,332,0.47715095896198956,6.245223900663348
EXXO34,LSTM,361,0.45873010773991835,5.465360498869998
EXXO34,TRANSFORMER,258,0.6446991796078049,5.51364796439843
PETR4,AUTOENCODER,264,0.19168488508233028,1.544545219870425
PETR4,LSTM,316,0.1668526751054045,1.5238362518202389
PETR4,TRANSFORMER,238,0.22165602227152265,1.7746615337589517
PRIO3,AUTOENCODER,325,0.38878256007024437,2.1284669884149063
PRIO3,LSTM,335,0.39166584459938736,2.057360331784679
PRIO3,TRANSFORMER,377,0.36306386595927626,2.0430503650011076
