,Pred,Real,Pred_Impact,Impact_Metadata
2020-12-24,8.137762743355424,8.28000545501709,8.137762743355424,
2020-12-25,8.113465954467046,8.28000545501709,8.113465954467046,
2020-12-28,8.094581186279243,8.348143577575684,8.094581186279243,
2020-12-29,8.152181504259843,8.374802589416504,8.152181504259843,
2020-12-30,8.20479163981369,8.395541191101074,8.20479163981369,
2020-12-31,8.254037149468173,8.395541191101074,8.254037149468173,
2021-01-01,8.297094455998247,8.395541191101074,8.297094455998247,
2021-01-04,8.329329912494826,8.564398765563965,8.329329912494826,
2021-01-05,8.349029212040447,8.89915657043457,8.349029212040447,
2021-01-06,8.34237183710084,8.91693115234375,8.34237183710084,
2021-01-07,8.395410823305012,9.183548927307127,8.395410823305012,
2021-01-08,8.533415269370407,9.219099044799805,8.533415269370407,
2021-01-11,8.659779608719473,9.142075538635254,8.659779608719473,
2021-01-12,8.781579986650923,9.073938369750977,8.781579986650923,
2021-01-13,8.853869480304722,8.635498046875,8.853869480304722,
2021-01-14,8.858317956646856,8.724371910095215,8.858317956646856,
2021-01-15,8.857838047130143,8.330368995666504,8.857838047130143,
2021-01-18,8.808998597902358,8.31555461883545,8.808998597902358,
2021-01-19,8.713893022485491,8.499226570129395,8.713893022485491,
2021-01-20,8.626952482955714,8.357030868530273,8.626952482955714,
2021-01-21,8.548466458980412,8.16150951385498,8.548466458980412,
2021-01-22,8.511052581575411,8.025237083435059,8.511052581575411,
2021-01-25,8.419711994928702,8.025237083435059,8.419711994928702,
2021-01-26,8.28043348770798,7.998576641082763,8.28043348770798,
2021-01-27,8.16269984987295,8.117071151733398,8.16269984987295,
2021-01-28,8.094825742909677,8.22371768951416,8.094825742909677,
2021-01-29,8.063575525311336,7.906738758087158,8.063575525311336,
2021-02-01,8.019873737553567,8.155585289001465,8.019873737553567,
2021-02-02,8.011437848624169,8.490340232849121,8.011437848624169,
2021-02-03,8.033713977396744,8.573287963867188,8.033713977396744,
2021-02-04,8.150637028335737,8.537737846374512,8.150637028335737,
2021-02-05,8.287641553339595,8.543663024902344,8.287641553339595,
2021-02-08,8.314862722365204,8.327404022216797,8.314862722365204,
2021-02-09,8.316282290332905,8.158547401428223,8.316282290332905,
2021-02-10,8.316717276812666,8.23556900024414,8.316717276812666,
2021-02-11,8.311003285649063,8.31851863861084,8.311003285649063,
2021-02-12,8.304654674412218,8.425166130065918,8.304654674412218,
2021-02-15,8.319120111447715,8.425166130065918,8.319120111447715,
2021-02-16,8.329793386754117,8.425166130065918,8.329793386754117,
2021-02-17,8.33464485560823,8.76584529876709,8.33464485560823,
2021-02-18,8.387995892566648,8.67104721069336,8.387995892566648,
2021-02-19,8.426981199717927,8.096336364746094,8.426981199717927,
2021-02-22,8.245427704220402,6.419596195220947,8.245427704220402,
2021-02-23,7.524575341474786,7.12761926651001,7.524575341474786,
2021-02-24,6.957744240562285,7.228341102600098,6.957744240562285,
2021-02-25,6.7182640228717645,6.869888305664063,6.7182640228717645,
2021-02-26,6.6170323696035425,6.588456153869629,6.6170323696035425,
2021-03-01,6.489858977315798,6.517357349395752,6.489858977315798,
2021-03-02,6.418591030783092,6.514394283294678,6.418591030783092,
2021-03-03,6.289888769217768,6.277400016784668,6.289888769217768,
2021-03-04,6.1137387686310305,6.582531452178955,6.1137387686310305,
2021-03-05,6.040510931346837,6.632892608642578,6.040510931346837,
2021-03-08,6.062190186354048,6.250738143920898,6.062190186354048,
2021-03-09,6.0566883195795675,6.395896911621094,6.0566883195795675,
2021-03-10,6.015313736880612,6.618079662322998,6.015313736880612,
2021-03-11,6.031966323189595,6.899513244628906,6.031966323189595,
2021-03-12,6.1223970539854395,6.863961696624756,6.1223970539854395,
2021-03-15,6.3179420142384926,7.00615930557251,6.3179420142384926,
2021-03-16,6.542562273387132,6.896549224853516,6.542562273387132,
2021-03-17,6.714431101704264,7.133545398712158,6.714431101704264,
2021-03-18,6.8060091230365245,6.884700775146484,6.8060091230365245,
2021-03-19,6.847932122883545,7.10984468460083,6.847932122883545,
2021-03-22,6.868611182908264,6.967647552490234,6.868611182908264,
2021-03-23,6.945473403450304,6.754351615905762,6.945473403450304,
2021-03-24,6.969538509993228,6.760276794433594,6.969538509993228,
2021-03-25,6.964880977176691,6.8728508949279785,6.964880977176691,
2021-03-26,6.8980107905209245,6.949873924255371,6.8980107905209245,
2021-03-28,6.870670465879009,6.949873924255371,6.870670465879009,
2021-03-29,6.843857603431946,7.059484481811523,6.843857603431946,
2021-03-30,6.840024189206723,7.059484481811523,6.840024189206723,
2021-03-31,6.87555770881011,7.13947057723999,6.87555770881011,
2021-04-01,6.926597839006657,7.077258586883545,6.926597839006657,
2021-04-04,6.976259434594866,7.077258586883545,6.976259434594866,
2021-04-05,7.035237574989317,7.121695041656494,7.035237574989317,
2021-04-06,7.107976299012641,7.115771293640137,7.107976299012641,
2021-04-07,7.17718670197268,7.10984468460083,7.17718670197268,
2021-04-08,7.208984651916694,7.02097225189209,7.208984651916694,
2021-04-09,7.224350521922133,7.00615930557251,7.224350521922133,
2021-04-11,7.232804160929547,7.00615930557251,7.232804160929547,
2021-04-12,7.195576988048856,7.077258586883545,7.195576988048856,
2021-04-13,7.155495942285274,7.100956916809082,7.155495942285274,
2021-04-14,7.12495068766194,7.213530540466309,7.12495068766194,
2021-04-15,7.094469420974168,7.070477485656738,7.094469420974168,
2021-04-16,7.1527753593400725,7.027606964111328,7.1527753593400725,
2021-04-18,7.180106589806215,7.027606964111328,7.180106589806215,
2021-04-19,7.187801358194278,7.4348721504211435,7.187801358194278,
2021-04-20,7.07638855601105,7.294013023376465,7.07638855601105,
2021-04-21,7.052653085947814,7.294013023376465,7.052653085947814,
2021-04-22,7.066570571500872,7.260330200195312,7.066570571500872,
2021-04-23,7.168023772039138,7.254206657409668,7.168023772039138,
2021-04-25,7.2519955014524555,7.254206657409668,7.2519955014524555,
2021-04-26,7.290372704079132,7.281764984130859,7.290372704079132,
2021-04-27,7.341192053984315,7.0735392570495605,7.341192053984315,
2021-04-28,7.319174287458409,7.330759048461914,7.319174287458409,
2021-04-29,7.319309494842798,7.2327704429626465,7.319309494842798,
2021-04-30,7.359832265541683,7.2327704429626465,7.359832265541683,
2021-05-02,7.368761431330497,7.2327704429626465,7.368761431330497,
2021-05-03,7.330294382629916,7.17458963394165,7.330294382629916,
2021-05-04,7.3009399171909735,7.009234428405762,7.3009399171909735,
2021-05-05,7.266058384249504,7.297077178955078,7.266058384249504,
2021-05-06,7.239502076170794,7.196025848388672,7.239502076170794,
2021-05-07,7.259547173532567,7.4654927253723145,7.259547173532567,
2021-05-09,7.278969703343208,7.4654927253723145,7.278969703343208,
2021-05-10,7.295501819215289,7.563483238220215,7.295501819215289,
2021-05-11,7.34713920666654,7.701277732849121,7.34713920666654,
2021-05-12,7.397394936810541,7.587978363037109,7.397394936810541,
2021-05-13,7.41678700661076,7.652282714843749,7.41678700661076,
2021-05-14,7.42386074140505,8.053423881530762,7.42386074140505,
2021-05-16,7.357428773496337,8.053423881530762,7.357428773496337,
2021-05-17,7.3020128107954605,8.163661003112793,7.3020128107954605,
2021-05-18,7.397965349811456,8.068731307983398,7.397965349811456,
2021-05-19,7.553820019394151,8.007492065429688,7.553820019394151,
2021-05-20,7.643223656169524,7.940124988555908,7.643223656169524,
2021-05-21,7.719901801828441,7.946249008178712,7.719901801828441,
2021-05-23,7.7704016503293465,7.946249008178712,7.7704016503293465,
2021-05-24,7.784761463443814,8.08098316192627,7.784761463443814,
2021-05-25,7.828525486043019,7.912564277648927,7.828525486043019,
2021-05-26,7.868901215972172,7.989118576049805,7.868901215972172,
2021-05-27,7.912355160048022,7.934000015258789,7.912355160048022,
2021-05-28,7.961946905792188,8.264711380004883,7.961946905792188,
