Ativo,Modelo,RMSE_Modelo,RMSE_SeqOnly,RMSE_ResidualOnly,RMSE_Hibrido,Ganho_Hibrido,Scale_Selecionado
PETR4 (LSTM),LSTM,0.9632,0.9473,0.4557,0.4465,0.5167,0.3
PRIO3 (LSTM),LSTM,1.5592,1.4806,0.8774,0.8448,0.7144,0.5
EXXO34 (LSTM),LSTM,2.061,2.0057,1.2204,1.1628,0.8982,0.3
PETR4 (AE),AUTOENCODER,1.0216,1.0061,0.4575,0.4487,0.573,0.3
PRIO3 (AE),AUTOENCODER,1.6077,1.5301,0.8844,0.851,0.7567,0.5
EXXO34 (AE),AUTOENCODER,2.1269,2.0723,1.2309,1.1725,0.9544,0.3
PETR4 (Transformer),TRANSFORMER,1.0858,1.0723,0.4789,0.4624,0.6234,0.3
PRIO3 (Transformer),TRANSFORMER,1.3836,1.3159,0.9417,0.8439,0.5397,0.5
EXXO34 (Transformer),TRANSFORMER,2.8142,2.7798,1.4463,1.3908,1.4234,0.3
