modelo,rmse,mae
GRU_d0.1,0.6943475131494312,0.5325556529773372
LSTM_d0.1,0.8965560163439594,0.7010962029760743
LSTM_d0.3,0.8992628384156712,0.7156225377342874
MLP_Lag,1.3380899667119301,1.1327110890568317
LSTM_d0.5,1.3499772026695085,1.1001793888713665
Transformer,2.0799510900490983,1.8071614300626444
