modelo,rmse_tecnico_full,mae_tecnico_full,rmse_hibrido_full
GRU_d0.1,0.6216008837447813,0.4659669074273445,
MLP_Lag,0.6316791900340176,0.4578316504015442,
LSTM_d0.1,0.7270371629657373,0.5502569332951067,0.7039587396471315
LSTM_d0.3,0.7468858043927417,0.5657622869612682,
Transformer,1.0978588054295848,0.8181810102407566,1.0911354723413043
